participantId,format,code,valid,errorMessage,"Extra content at the end of the document, line 2, column 1 (<string>, line 2)","Extra content at the end of the document, line 2, column 5 (<string>, line 2)","Extra content at the end of the document, line 4, column 1 (<string>, line 4)","Opening and ending tag mismatch: root line 2 and repository, line 5, column 18 (<string>, line 5)","Specification mandates value for attribute encoding, line 1, column 31 (<string>, line 1)","Start tag expected, '<' not found, line 1, column 1 (<string>, line 1)","Start tag expected, '<' not found, line 1, column 2 (<string>, line 1)","StartTag: invalid element name, line 1, column 2 (<string>, line 1)","String not closed expecting "" or ', line 1, column 19 (<string>, line 1)","Unsupported version '4.47', line 1, column 23 (<string>, line 1)","error parsing attribute name, line 3, column 11 (<string>, line 3)","expected '>', line 5, column 24 (<string>, line 5)"
57ca4b09993b08000192297b,xml,"<version>4.4.7</version>
<repository>
    <author>
        <middle_name=""""/>
        <IsMember>true</IsMember>
    </author>
    <type>git</type>
</repository>
<engines>
    <pnpm> >=8 </pnpm>
</engines>
<keywords>canvas</keywords>
<keywords>responsive</keywords>
<keywords>charts</keywords>",False,"Extra content at the end of the document, line 2, column 1 (<string>, line 2)",1,0,0,0,0,0,0,0,0,0,0,0
6693ce87e76d32ccf07fbcd8,xml,"<?xml version = ""4.47"" encoding = ""UTF-8""?>
<repository>
    <author>
        <middle_name></middle>
        <IsMember>true</IsMember>
    </author>
    <type>git</type>
</repository>
<engines>
    <pnpon> >=8 </pnpon>
</engines>
<keywords>
    <canvas></canvas>
    <responsive></responsive>
    <charts></charts>
</keywords>",False,"Unsupported version '4.47', line 1, column 23 (<string>, line 1)",0,0,0,0,0,0,0,0,0,1,0,0
60f70af563ef757f65e750e0,xml,"</version> 
    <4.4.7>
</repository>
    <author>middle name</author>
    <IsMember>true</IsMember>
</engines>
    <pnpm>>=8</pnpm>
</keywords>
    <canvas>    
    </responsive>
    </charts>
    ",False,"StartTag: invalid element name, line 1, column 2 (<string>, line 1)",0,0,0,0,0,0,0,1,0,0,0,0
67c045fa5074c5500ca40e76,xml,"<root>
<version>4.4.7</version>
<respository>
<authot>
<middle_name></LsMember</middle_name>
<isMember>true></isMember>
</author>
<type>git</type>
</repository>
<engines>
 <npm>>=6</npm>
 </engines>
   <keywords>
     <keyword>canvas</keyword>
     <keyword>responsive</keyword>
     <keyword>charts</keyword>
     </keywords>
     
        ",False,"expected '>', line 5, column 24 (<string>, line 5)",0,0,0,0,0,0,0,0,0,0,0,1
67d2eaf9d5996dc6be1c7072,xml,"<?xml version=""1.0"" encoding=""UTF-8""?>
<root>
    <version>4.4.7</version>
    <type>pnpm</type>
    </repository>
    <keywords>canvas</keywords>
    <keywords>responsive</keywords>
    <keywords>charts</keywords>",False,"Opening and ending tag mismatch: root line 2 and repository, line 5, column 18 (<string>, line 5)",0,0,0,1,0,0,0,0,0,0,0,0
651b29ff3a6cadf518640abe,xml,"<？xml version=""4.4.7"" encoding></？xml>
<repository></repository>author</middle_name>
<repository></repository>type<git>
                         author<middle_name></middle>
                                <IsMember></IsMember=true>
<engines></engines>pnpm>=8
<keywords></keywords>
    <canvas></canvas>
    <responsive></responsive>
    <charts></charts>
",False,"Specification mandates value for attribute encoding, line 1, column 31 (<string>, line 1)",0,0,0,0,1,0,0,0,0,0,0,0
67aca6831f2b0b79416bdb6c,xml,"<?xml version=""1.0""?> <root></root>
<root>
<version>2.4.7/versio>
<repository><engineer>
><keywords><propan/></keywords></
respository
</engineer> <root></root>",False,"Extra content at the end of the document, line 2, column 1 (<string>, line 2)",1,0,0,0,0,0,0,0,0,0,0,0
677f8968bbb08bc37c8d2a4b,xml,"<data>
    <element name=""keyword""></element>
      <git=3.0>
          <engines=3.0>
       </PNPM=8.0>
       <git=>=8</git>
      <element name=""metadata"">   
      </element>
      ",False,"error parsing attribute name, line 3, column 11 (<string>, line 3)",0,0,0,0,0,0,0,0,0,0,1,0
672f51ea346fba23ddd5a793,xml,"<version>4.4.7</version>
    <repository>
        <auhor>
            <middle_name/>
            <isMember>true</isMember>
            </author>
            <type>git</type>
            </repository>
            <engines>
                <npm>7</npm>
                <yarn>1</yarn>
                </engines>
                <keywords>
                    <keyword>canvas</keyword>
                    <keyword>responsive</keyword>
                    <keyword>charts<keyword></keyword>",False,"Extra content at the end of the document, line 2, column 5 (<string>, line 2)",0,1,0,0,0,0,0,0,0,0,0,0
62d7fef5538b81f205ba4656,xml,"<?xml version=""4.4.7"" encoding=""UTF-8"">
<repository>
<author>
<middle_name></middle_name>
<isMember>True</isMember>
</author>
<type>Git</type>
<engines>
<pnpm>>=8</pnpm>
<keywords>
<canvas></canvas>
<responsive></responsive>
<charts></charts>
</keywords>
</engines>
</repository>",False,"String not closed expecting "" or ', line 1, column 19 (<string>, line 1)",0,0,0,0,0,0,0,0,1,0,0,0
67406c1303bd39d206ff2b50,xml,"<?xml version=""4.4.7"" encoding=""UTF-8""?>
    </repository>
        <type>git</type>
        </author>
        <middle_name></middle>
        <IsMember>true</IsMember>
    </engines>
        <pnpm>>=8</pnpm>
    <keywords>canvas</keywords>
    <keywords>responsive</keywords>
    <keywords>charts</keywords>",False,"String not closed expecting "" or ', line 1, column 19 (<string>, line 1)",0,0,0,0,0,0,0,0,1,0,0,0
67f66486e35051403284eb5e,xml,"""version.4.4.7.0""
""repository"": {
""author"":{
""Ismember"":""man""
""Ismember"": true
}
""type"":""kit""
}
""engines""{
""pnpm"""";{
""version"" : ""<=8""
}
}'
""keywords"": [""canvas"" , responsive, charts""
}",False,"Start tag expected, '<' not found, line 1, column 1 (<string>, line 1)",0,0,0,0,0,1,0,0,0,0,0,0
60f7c71d1cffec381351b0b3,xml,"<version>4.4.7</version>
<repository=""author""> type</repository>
<engines="">=8""></pnpm>
 <keywords></keywords>canvas
 <keyword>responsive</keywordkeywords>
 <keywords>charts</keywords 
 <type>git</type>
  <author></author>middlename
  <author></author>Ismember
  <Ismember>true</Ismember>",False,"Extra content at the end of the document, line 2, column 1 (<string>, line 2)",1,0,0,0,0,0,0,0,0,0,0,0
5fb4fcd1fce53c30649dd704,xml," XML <version 4.4.7>
     <repository>
         <author/<middle_name>
                 <IsMember>/<true>
         <type/<git>
     <engines/<pnpm>=8>
     <keywords>
         <canvas>
         <responsive>
         <charts>          
              ",False,"Start tag expected, '<' not found, line 1, column 2 (<string>, line 1)",0,0,0,0,0,0,1,0,0,0,0,0
5c4f5967aac8be0001716a65,xml,"<?xml version=""1.0"" encoding=""UTF-8""?>
<!--- Nested structure example XML File -->
<version>""4.4.7""</version>
<respository>
    <author>
        <middle_name>""""</middle_name>
        <IsMember>true</IsMember>
    </author>
    <type>""git""</type>
</respository>
<engines>
    <pnpm>"">=8""</pnpm>
</engines>
<keywords>
    <canvas></canvas>
    <responsive></responsive>
    <charts></charts>
</keywords>
",False,"Extra content at the end of the document, line 4, column 1 (<string>, line 4)",0,0,1,0,0,0,0,0,0,0,0,0
