participantId,format,code,valid,errorMessage,"Found invalid character in key name: '""'. Try quoting the key name. (line 1 column 9 char 8)",Found invalid character in key name: ')'. Try quoting the key name. (line 2 column 12 char 30),Found invalid character in key name: ')'. Try quoting the key name. (line 5 column 12 char 78),Found invalid character in key name: ':'. Try quoting the key name. (line 1 column 8 char 7),Found invalid character in key name: 'n'. Try quoting the key name. (line 4 column 8 char 50),Found tokens after a closed string. Invalid TOML. (line 1 column 1 char 0),Key group not on a line by itself. (line 9 column 1 char 99),Key name found without value. Reached end of line. (line 2 column 13 char 30),Unbalanced quotes (line 4 column 13 char 47),could not convert string to float: '4.4.7' (line 1 column 1 char 0)
659960f32faa4ff4b116de92,toml,"version = 4.4.7
[repository]
type = ""git""
[repository.author]
name = ""Alice""
isMember= true
[engines]
pnpm = "">=8""
keywords = [""canvas"", ""responsive"", ""charts""]
",False,could not convert string to float: '4.4.7' (line 1 column 1 char 0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
67b8636acd5ed420cc098b64,toml,"version = ""4-4-7""
(repository)
(repository.author)
middle _name =""""
Ismember =true 

(repository.type)
git = """"

(engines)
pnpm = "">8""

keywords = {""canvas"",""responsive"",""charts""}",False,Found invalid character in key name: ')'. Try quoting the key name. (line 2 column 12 char 30),0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67d1cc8044430e99a7d91b4a,toml,"version = ""4.4.7""

[resposity] 
type = ""git
author.middle-name= ""same"" 
author.isMember = true

[engines] 
npm = "">=8""

keywords = [""canvas"",""responsive"",""charts""]
",False,Unbalanced quotes (line 4 column 13 char 47),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
67d03135f855dd0ff0994265,toml,"version =''4.4.7''
repository= ''github.com/user/repo''
engines =[''1.4.0''] pnp
processing =''3.5.4'' 
name=''John Ban''
email= ''John.Ban@outmail.com
keywords =[''canvas'', ''responsive'',''charts'']",False,Found tokens after a closed string. Invalid TOML. (line 1 column 1 char 0),0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5e5c993cd0394c474f7cc502,toml,"version = 4.4.7
[[repository]]
[author]
middle name = 
IsMember = true
[type]
type = git
 
engines = { pnpm >=8 }

keywords = [""canvas"", ""responsive"", ""charts""]",False,Found invalid character in key name: 'n'. Try quoting the key name. (line 4 column 8 char 50),0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5b3ec4332a5fbf00014eae57,toml,"version = ""4.4.7""

[[repository]]
[author]
middleName = """"
isMember = true

[[repository]]
[type] = ""git""

[engines]
pnpm = "">=8""

keywords = [""canvas"", ""responsive"", ""charts""]",False,Key group not on a line by itself. (line 9 column 1 char 99),0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6682a94b061954ae8483fb08,toml,"version = ""4.4.7""

[repository]

[repository.author]
middle_name = """"
IsMember = true

[repository.type]
type = ""git""

[engines]
pnpm = "">=8""

keywords = [""canvas"", ""responsive"", ""charts""]",True,,,,,,,,,,,
67bf5ad9c5a4637861cfd21e,toml,"version="" 4.4.7""
respiratory
url=
engines= [""gears"", ""sprockets""]
keywords= [ ""canvas"", ""responsive"",""charts""]
author
middle- name= true
Is-Member= true",False,Key name found without value. Reached end of line. (line 2 column 13 char 30),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
66311bae532a469f4858933e,toml,"version = 4.4.7

[repository]
author ={ middle_name = """", IsMember = true }
type = git
[engines]
pnpm = >=8

keywords = [""canvas"", ""responsive"", ""charts""]",False,could not convert string to float: '4.4.7' (line 1 column 1 char 0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
611d0afbb2a19acfd012545b,toml,"Version=""4.4.7""

[Repository.author]

middle_name=""""

isMember=true

[Engines]

pnppm="">=8""

type=""git""

[keyword]

canvas=""""

responsive=""""

charts=""""",True,,,,,,,,,,,
606c7d27f4f3ae688332a55d,toml,"version = 4.4.7

engines = {pnpm >= 8}

keywords={canvas, responsive, charts}

repository={author, type}

repository.author = {middle_name, IsMember = True)

repository.type = {git}",False,could not convert string to float: '4.4.7' (line 1 column 1 char 0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
