participantId,valid,errorMessage,JSON5 fallback error: JSON5: invalid character 'v' at 1:1,"TOML error: Invalid character, expected ""="" at row 1, col 10, pos 9:","TOML error: Invalid character, expected ""="" at row 1, col 9, pos 8:","TOML error: Invalid character, expected ""="" at row 2, col 12, pos 32:","TOML error: Unexpected character, expected only whitespace or comments till end of line at row 1, col 14, pos 13:","TOML error: Unexpected character, expected only whitespace or comments till end of line at row 1, col 15, pos 14:","TOML error: Unexpected character, expected only whitespace or comments till end of line at row 9, col 8, pos 107:","TOML error: Unexpected character, expecting string, number, datetime, boolean, inline array or inline table at row 3, col 12, pos 30:","TOML error: Unknown character ""40"" at row 2, col 1, pos 20:","TOML error: Unterminated string at row 4, col 12, pos 47:"
659960f32faa4ff4b116de92,False,"TOML error: Unexpected character, expected only whitespace or comments till end of line at row 1, col 15, pos 14:; JSON5 fallback error: JSON5: invalid character 'v' at 1:1",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
67b8636acd5ed420cc098b64,False,"TOML error: Unknown character ""40"" at row 2, col 1, pos 20:; JSON5 fallback error: JSON5: invalid character 'v' at 1:1",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
67d1cc8044430e99a7d91b4a,False,"TOML error: Unterminated string at row 4, col 12, pos 47:; JSON5 fallback error: JSON5: invalid character 'v' at 1:1",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
67d03135f855dd0ff0994265,False,"TOML error: Unexpected character, expected only whitespace or comments till end of line at row 1, col 14, pos 13:; JSON5 fallback error: JSON5: invalid character 'v' at 1:1",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5e5c993cd0394c474f7cc502,False,"TOML error: Unexpected character, expected only whitespace or comments till end of line at row 1, col 15, pos 14:; JSON5 fallback error: JSON5: invalid character 'v' at 1:1",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5b3ec4332a5fbf00014eae57,False,"TOML error: Unexpected character, expected only whitespace or comments till end of line at row 9, col 8, pos 107:; JSON5 fallback error: JSON5: invalid character 'v' at 1:1",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6682a94b061954ae8483fb08,True,,,,,,,,,,,
67bf5ad9c5a4637861cfd21e,False,"TOML error: Invalid character, expected ""="" at row 2, col 12, pos 32:; JSON5 fallback error: JSON5: invalid character 'v' at 1:1",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
66311bae532a469f4858933e,False,"TOML error: Unexpected character, expected only whitespace or comments till end of line at row 1, col 15, pos 14:; JSON5 fallback error: JSON5: invalid character 'v' at 1:1",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
611d0afbb2a19acfd012545b,True,,,,,,,,,,,
606c7d27f4f3ae688332a55d,False,"TOML error: Unexpected character, expected only whitespace or comments till end of line at row 1, col 15, pos 14:; JSON5 fallback error: JSON5: invalid character 'v' at 1:1",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
67d0251c804fc17732eb948a,False,"TOML error: Invalid character, expected ""="" at row 1, col 9, pos 8:; JSON5 fallback error: JSON5: invalid character 'v' at 1:1",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67d11644421446068e1fec14,False,"TOML error: Invalid character, expected ""="" at row 1, col 10, pos 9:; JSON5 fallback error: JSON5: invalid character 'v' at 1:1",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65feaaac53eb219f09ad5ea0,False,"TOML error: Unexpected character, expecting string, number, datetime, boolean, inline array or inline table at row 3, col 12, pos 30:; JSON5 fallback error: JSON5: invalid character 'v' at 1:1",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
60e2bf0aa568b97e8d525872,True,,,,,,,,,,,
