participantId,task,format,code,start_time,end_time,duration_sec,help_count,char_count,char_per_sec,normalized_time
64457bc906c125cebd4bf66b,writing-task-tabular,json5,"{
 ""person"":   
""name"": {
    ""treatment""{
        ""tests"":{
        }
""results"" {
    }??????
    ??????????????????
    ?????????????????
    ???????????
}",1746561717576,1746561968418,250.842,10,157,2.2096670768270914,113.52026856470589
6697c8b6d9d7baa7edd8c4d3,writing-task-tabular,hjson,"patients: [
    {
        name: John
        tests: [
            {
                id: 1
                result: Normal
            }
            {
                id: 2
                result: Elevated
            }
            {
                id: 1
                result: Normal
                note: Cholesterol
            }
        ]
    }
    {
        name: Michael
        treatment: Regular Monitoring
    }
]    ",1745932567200,1745933142854,575.654,0,426,1.6313426602631032,352.871296768
67e25388d573ec2d5f1c8442,writing-task-tabular,yaml,"person:
  name: John
tests
  # id:1
  normal
  #id: 2
  elavated cholesterol
  
  
  person:
    name: Michael
    tests
    #id:1
    normal
    treatment:
    Regular monitoring",1746146837797,1746147375040,537.243,2,179,0.8658127645539003,620.5071373333334
67e5cf90b79d0874e1cf16b0,writing-task-tabular,toml,"[patients]
[[patients.patient]]
name = ""John""
age = 30

[patients.patient.test]
blood = ""Normal""
xray = ""Normal""

[[patients.patient]]
name = ""Michael""
age = 45

[[patients.patient.test]]
blood = ""Elevated Cholesterol""
xray = ""Normal""

[patients.patient.treatment]
type = ""Regular Monitoring""",1746145745579,1746146463120,717.541,2,292,0.7768139530582426,923.6973630238095
67d00f24466a67ba7e41228e,writing-task-tabular,toml,"[[patients]]
[[users]]
name = ""john""
[tests] =id ""1"" , result ""Normal""
name =""Michael""
[[tests]] = id ""2"", result ""Elevated cholesterol""
[[[patients]]]
[[users]]
name = ""michael""
[tests] =id ""1"" , result ""Normal
[treatment] = ""regular monitoring""",1745930601970,1745932342937,1740.967,11,246,0.8216303257483766,2118.9176512128515
66475d6f7b27e4443ef0d031,writing-task-tabular,json,"{
    patients
    if(name)=John
    then{
        tests,
        if(id)=1,
        then(result)=Normal,
        if(id=2),
        then(result)=Elevated Cholesterol
    }
     if(name)=Michael
    then{
        tests,
        if(id)=1,
        then(result)=Normal
    treatment=Regular Monitoring    
}",1744921480385,1744921734203,253.818,0,302,2.3666072657671675,107.24973411155378
6672d878f68b9e349b56e871,writing-task-tabular,toml,name='John'test= Id=1 Results=Normal Id=2 Name='Michael' test Id=1 Results = Normal results= Elevated Cholesterol Id=2 Regula Monitoring                    ,1746144856654,1746145373859,517.205,0,156,0.49901966781387536,1036.4421151290323
67f5bb69760b211cdfe8021c,writing-task-tabular,jsonc,"{
    ""patients"" : {
        ""name"" : ""john"",
        ""tests"" : [
            {""Id"" : ""1"" , ""result"" : ""normal""},
            { ""Id"" : ""2"" , ""result"" : ""Elevated Cholestrol""}
            ]
            
        ""name""  : ""Michael"", 
        ""tests"" : [
            {""id"" : ""1"" , ""result"" : ""Normal""},
        ""treatment"" : ""Regular Monitoring"" 
        ]
}",1746150048109,1746150828548,780.439,0,355,1.6780119295099116,465.09740859109314
67e571bef6af7ecd9c29ad72,writing-task-tabular,json,"{
    ""patients"" : [
     {
         ""name"" : ""John"", 
         ""tests"" : [
          {
              ""id"" : 1,
              ""results"" : ""Normal""
          }
             ],
             ""treatment"" : ""Regular Monitoring""
     },
     {
         ""name"" : ""Michael"",
         ""tests"" : [
        {
            ""id"" : 1, 
            ""results"" : ""Elevated Cholesterol""
        },
        {
            ""id"" : 1, 
            ""results"" : ""Normal""
        }
        ]
     }
    
    ]
}",1746146822874,1746147358937,536.063,0,484,0.8075569549916651,663.8082883027523
60f1f1d4ac991a259b83f603,writing-task-tabular,json,"Note: Different colors represent different levels of the nested structure. Purple rectangles indicate the top-level elements. 

                       Patient
                       
                       
                       
    Name     tests       Name      tests    treatment
    
    John                           Michel           Bergulaf
                                                    Monitoring
    
    
    
    
    id    result      id    result          id      result
    1     Normal      2     Elevated        1       Normal
                            Cholesterol",1746232143082,1746232546737,403.655,0,591,0.9237993347184237,436.95095333992094
678f0bb28ec3307e4f1afb78,writing-task-tabular,hjson,"{patient
    name: John
    tests: 
        id: 1
        result: Normal
        id:2
        result: Elevated Cholesterol
    treatment: null     
    name: Michael
    tests:
        id: 1
        results: Normal
    treatment: Regular Monitoring
}",1746145002506,1746145881479,878.973,6,250,1.065239419054795,825.1412633414634
669b961e1c9cf30a26bb57d2,writing-task-tabular,xml,"<patients>
    <patient>
        <name>John</name>
        <test>
            <id>1
            <results>
                <tests
            </results></id>
        </test>
        </name>
    </patient></patient>",1746232263758,1746232658791,395.033,0,213,1.3390465988216391,295.0106444
673c13c9d37c8a73bc80b8ce,writing-task-tabular,json,"{
    ""patient"" : {
        ""name"" : ""John"",
        ""tests"" : [
            {""Id"" :""1"", ""results"" : ""Normal"" }
            {""Id"" : ""2"", ""results"" : ""Elavated Cholestrol"" }
            ]
    }
   ""patient"" :{
            ""name"" : ""Michael"",
            ""tests"" : [
                {""Id"" : ""1"" , ""results"" : ""Normal""}
                ]
                {""treatment"" : ""Regular Monitoring""}
                
   }        
    
}",1746145824604,1746146954586,1129.982,0,424,1.2552658401996375,900.1933804079999
66992f58a7964f557fc75f58,writing-task-tabular,toml,"name= ""John""
""""normal""""
""""elevated cholesterol""""




name= ""Michael""
""""Normal""""",1744924062603,1744924254999,192.396,5,79,2.1048252911813643,91.40711146245059
60721c2da01b3a616edba9a7,writing-task-tabular,xml,"<?xml version=""1.0"" encoding=""UTF-8""?>
<hopital>
  <patient>
     <name>John</name>
      <tests id=""1"">
        <results>Normal</results>
       </tests>
      <test id=""2"">
        <result>Elevated Cholesterol</result>
        </test>
    </patient>
<patient>
    <name>Michael</name>
        <test id=""1""><result>Normal</result>
        <treatment>Regualar Monitoring</treatment>
     </patient>
</hospital>
",1745930803789,1745931968128,1164.339,0,411,1.0813925329636835,1076.7033843011584
673e43cc760355e9e4f042a3,writing-task-tabular,json5,"{
    patients: [
    {
        name: ""John"" ,
        tests: [
        {
            id: 1,
            results: ""Normal""
        },
        {
            id: 2,
            result: ""Elevated Cholesterol""
        }
        
    ]
  },
  {
    name: ""Michael"",
    tests: [
    {
        id: 1,
        result: ""Normal""
    }
   ],
   treatment: ""Regular Monitoring""
  }
 ]
}",1746563204189,1746564088861,884.672,0,375,0.43046775328345455,2055.1411650513596
60a0b744298c64d46b63e893,writing-task-tabular,hjson,"{patients}
[name
[tests
]
{John}
//id
result
id
result
//""1""
[normal]
//""2""
Elevated Cholesterol]

[name
tests
treatement]
{Michael
Regular Monitoring
}
//id
//result
//""1""
//""normal""",1746522191831,1746522494290,302.459,4,183,1.8905286755090605,159.98646511857706
67dc19c31078d1581e39e75a,writing-task-tabular,yaml,"name: John
age:
treatment: 
id: 1
result: Normal
id: 2
result: Elevated Cholesterol

name: Michael
age:
treatment: Regular Monitoring
id: 1
result: Normal",1746144494016,1746145183877,689.861,6,154,1.110391412973073,621.2773189166667
