participantId,format,valid_strict,valid_loose,task,type
671bdd06525adeea062a1d73,json,True,True,modifying_1,config
6818ca1523ece90f671e3601,json,False,False,modifying_1,config
6680d2279263349cc005956a,json,True,True,modifying_1,config
6081728972120aa7f9685791,json,True,True,modifying_1,config
675aaf0eb1b401136f37c475,json,True,True,modifying_1,config
67d13a1ec91ae2216896de44,json,True,True,modifying_1,config
68138e7f96395f4c5f3a0a87,json,True,True,modifying_1,config
67f4ea448eb6a2b293c1f2fc,json,True,True,modifying_1,config
664e413a5f3eb7f99d90e15b,json,True,True,modifying_1,config
65fb236a5a78fcf672df7469,json,True,True,modifying_1,config
67176f0792ed8c4064f61a2c,json,True,True,modifying_1,config
5795af044a84da00014c5df1,json,True,True,modifying_1,config
671bdd06525adeea062a1d73,json,True,True,modifying_2,config
6818ca1523ece90f671e3601,json,False,False,modifying_2,config
6680d2279263349cc005956a,json,False,False,modifying_2,config
6081728972120aa7f9685791,json,True,True,modifying_2,config
675aaf0eb1b401136f37c475,json,True,True,modifying_2,config
67d13a1ec91ae2216896de44,json,True,True,modifying_2,config
68138e7f96395f4c5f3a0a87,json,False,False,modifying_2,config
67f4ea448eb6a2b293c1f2fc,json,False,False,modifying_2,config
664e413a5f3eb7f99d90e15b,json,True,True,modifying_2,config
65fb236a5a78fcf672df7469,json,False,False,modifying_2,config
67176f0792ed8c4064f61a2c,json,False,False,modifying_2,config
5795af044a84da00014c5df1,json,True,True,modifying_2,config
670f9ddb0e32533c222c3031,json,False,False,modifying_3,config
671bdd06525adeea062a1d73,json,True,True,modifying_3,config
66912d7bf9d35c08f6919958,json,True,True,modifying_3,config
6818ca1523ece90f671e3601,json,False,False,modifying_3,config
6680d2279263349cc005956a,json,False,True,modifying_3,config
6081728972120aa7f9685791,json,True,True,modifying_3,config
675aaf0eb1b401136f37c475,json,False,True,modifying_3,config
67d13a1ec91ae2216896de44,json,True,True,modifying_3,config
68138e7f96395f4c5f3a0a87,json,False,False,modifying_3,config
67f4ea448eb6a2b293c1f2fc,json,False,True,modifying_3,config
664e413a5f3eb7f99d90e15b,json,False,True,modifying_3,config
65fb236a5a78fcf672df7469,json,False,True,modifying_3,config
67176f0792ed8c4064f61a2c,json,False,True,modifying_3,config
5795af044a84da00014c5df1,json,True,True,modifying_3,config
671bdd06525adeea062a1d73,json,True,True,modifying_4,config
6818ca1523ece90f671e3601,json,False,False,modifying_4,config
6680d2279263349cc005956a,json,False,False,modifying_4,config
6081728972120aa7f9685791,json,False,True,modifying_4,config
675aaf0eb1b401136f37c475,json,False,False,modifying_4,config
67d13a1ec91ae2216896de44,json,True,True,modifying_4,config
68138e7f96395f4c5f3a0a87,json,False,False,modifying_4,config
664e413a5f3eb7f99d90e15b,json,False,False,modifying_4,config
65fb236a5a78fcf672df7469,json,True,True,modifying_4,config
67176f0792ed8c4064f61a2c,json,False,False,modifying_4,config
5795af044a84da00014c5df1,json,True,True,modifying_4,config
6708da9c62672d0fe65b6683,jsonc,False,False,modifying_1,config
613a541cf948d295c1df8752,jsonc,True,True,modifying_1,config
6723422d5f63c70998014b03,jsonc,False,False,modifying_1,config
6735b2a6112cf17b7b8df8d1,jsonc,True,True,modifying_1,config
67da5ae29f57419143d2b99a,jsonc,False,False,modifying_1,config
66684beba2a2d24645a6d782,jsonc,True,True,modifying_1,config
588ab33542c8e900019d02ae,jsonc,True,True,modifying_1,config
671e39c25e5e3f340a6f21d4,jsonc,True,True,modifying_1,config
67c6ed1e12728e4fe7a1edf6,jsonc,True,True,modifying_1,config
65298aca34ac384b783169d4,jsonc,True,True,modifying_1,config
6708da9c62672d0fe65b6683,jsonc,False,False,modifying_2,config
613a541cf948d295c1df8752,jsonc,True,True,modifying_2,config
67c1dd323984fa84ae83e162,jsonc,False,False,modifying_2,config
6723422d5f63c70998014b03,jsonc,False,False,modifying_2,config
589cd166b2a7180001f0527d,jsonc,False,False,modifying_2,config
6735b2a6112cf17b7b8df8d1,jsonc,False,False,modifying_2,config
67da5ae29f57419143d2b99a,jsonc,False,False,modifying_2,config
66684beba2a2d24645a6d782,jsonc,False,False,modifying_2,config
588ab33542c8e900019d02ae,jsonc,False,False,modifying_2,config
65fb13bebfa339f73b4cf76a,jsonc,False,False,modifying_2,config
671e39c25e5e3f340a6f21d4,jsonc,True,True,modifying_2,config
67c6ed1e12728e4fe7a1edf6,jsonc,False,False,modifying_2,config
65298aca34ac384b783169d4,jsonc,False,False,modifying_2,config
6708da9c62672d0fe65b6683,jsonc,False,False,modifying_3,config
613a541cf948d295c1df8752,jsonc,True,True,modifying_3,config
67c1dd323984fa84ae83e162,jsonc,False,False,modifying_3,config
6723422d5f63c70998014b03,jsonc,False,False,modifying_3,config
589cd166b2a7180001f0527d,jsonc,False,False,modifying_3,config
6735b2a6112cf17b7b8df8d1,jsonc,True,True,modifying_3,config
67da5ae29f57419143d2b99a,jsonc,True,True,modifying_3,config
66684beba2a2d24645a6d782,jsonc,True,True,modifying_3,config
588ab33542c8e900019d02ae,jsonc,True,True,modifying_3,config
65fb13bebfa339f73b4cf76a,jsonc,False,False,modifying_3,config
67c6ed1e12728e4fe7a1edf6,jsonc,True,True,modifying_3,config
65298aca34ac384b783169d4,jsonc,False,False,modifying_3,config
6708da9c62672d0fe65b6683,jsonc,False,False,modifying_4,config
613a541cf948d295c1df8752,jsonc,False,False,modifying_4,config
67c1dd323984fa84ae83e162,jsonc,True,True,modifying_4,config
6723422d5f63c70998014b03,jsonc,False,False,modifying_4,config
589cd166b2a7180001f0527d,jsonc,True,True,modifying_4,config
6735b2a6112cf17b7b8df8d1,jsonc,False,False,modifying_4,config
67da5ae29f57419143d2b99a,jsonc,True,True,modifying_4,config
588ab33542c8e900019d02ae,jsonc,True,True,modifying_4,config
65fb13bebfa339f73b4cf76a,jsonc,False,False,modifying_4,config
671e39c25e5e3f340a6f21d4,jsonc,True,True,modifying_4,config
67c6ed1e12728e4fe7a1edf6,jsonc,False,False,modifying_4,config
65298aca34ac384b783169d4,jsonc,False,False,modifying_4,config
5f7f239e9b204e05b6c36538,json5,False,False,modifying_1,config
678faf5b31008609fd85b185,json5,True,True,modifying_1,config
65e85a421f2dee53c62fbf45,json5,True,True,modifying_1,config
666b0b42bb6fa2822fa27a32,json5,False,False,modifying_1,config
674f479b2a4ef75e4551f258,json5,True,True,modifying_1,config
60ec51c51a3158a50ded8a3e,json5,True,True,modifying_1,config
6647e8618c77f7b938865d25,json5,True,True,modifying_1,config
5ea90bb434d5e337e98c7edd,json5,True,True,modifying_1,config
65f4ab7884f8411c9e11a34e,json5,True,True,modifying_1,config
67a8fa10b4db1990f7372f01,json5,True,True,modifying_1,config
675330fb23080b9ae3ec8239,json5,True,True,modifying_1,config
681374d36d7bd7ccb6f914f5,json5,True,True,modifying_1,config
5755c957eb80c4000741a9ce,json5,True,True,modifying_1,config
6693d3ae2bd15cf7a058e6a7,json5,True,True,modifying_1,config
5f7f239e9b204e05b6c36538,json5,False,False,modifying_2,config
678faf5b31008609fd85b185,json5,False,False,modifying_2,config
65e85a421f2dee53c62fbf45,json5,True,True,modifying_2,config
666b0b42bb6fa2822fa27a32,json5,True,True,modifying_2,config
674f479b2a4ef75e4551f258,json5,False,False,modifying_2,config
60ec51c51a3158a50ded8a3e,json5,True,True,modifying_2,config
6647e8618c77f7b938865d25,json5,False,False,modifying_2,config
5ea90bb434d5e337e98c7edd,json5,True,True,modifying_2,config
65f4ab7884f8411c9e11a34e,json5,False,False,modifying_2,config
67a8fa10b4db1990f7372f01,json5,True,True,modifying_2,config
675330fb23080b9ae3ec8239,json5,True,True,modifying_2,config
681374d36d7bd7ccb6f914f5,json5,True,True,modifying_2,config
5755c957eb80c4000741a9ce,json5,True,True,modifying_2,config
6693d3ae2bd15cf7a058e6a7,json5,False,False,modifying_2,config
5f7f239e9b204e05b6c36538,json5,False,False,modifying_3,config
678faf5b31008609fd85b185,json5,True,True,modifying_3,config
65e85a421f2dee53c62fbf45,json5,True,True,modifying_3,config
666b0b42bb6fa2822fa27a32,json5,True,True,modifying_3,config
674f479b2a4ef75e4551f258,json5,True,True,modifying_3,config
60ec51c51a3158a50ded8a3e,json5,True,True,modifying_3,config
6647e8618c77f7b938865d25,json5,True,True,modifying_3,config
5ea90bb434d5e337e98c7edd,json5,False,False,modifying_3,config
65f4ab7884f8411c9e11a34e,json5,True,True,modifying_3,config
67a8fa10b4db1990f7372f01,json5,False,False,modifying_3,config
