participantId,task,format,code,start_time,end_time,duration_sec,help_count
67895b7d6400163124042af7,modifying-task-config-1,jsonc,,1747336883833,1747336908273,24.44,0
67895b7d6400163124042af7,modifying-task-config-2,jsonc,,1747336913465,1747336918230,4.765,0
67895b7d6400163124042af7,modifying-task-config-3,jsonc,,1747336924996,1747336928923,3.927,0
67895b7d6400163124042af7,modifying-task-config-4,jsonc,,1747336935098,1747336939555,4.457,0
670f9ddb0e32533c222c3031,modifying-task-config-1,json,,1746770108135,1746770117434,9.299,0
670f9ddb0e32533c222c3031,modifying-task-config-2,json,,1746770124014,1746770132290,8.276,0
670f9ddb0e32533c222c3031,modifying-task-config-4,json,,1746770199306,1746770225210,25.904,0
67d03135f855dd0ff0994265,modifying-task-config-1,toml,,1746771277027,1746771428254,151.227,0
66684d30d1a0d64a3a348c82,modifying-task-config-4,yaml,,1747337420554,1747337766916,346.362,0
66912d7bf9d35c08f6919958,modifying-task-config-1,json,,1746771209325,1746771233361,24.036,0
66912d7bf9d35c08f6919958,modifying-task-config-2,json,,1746771240822,1746771255074,14.252,0
66912d7bf9d35c08f6919958,modifying-task-config-4,json,,1746771409141,1746771636727,227.586,0
651b29ff3a6cadf518640abe,modifying-task-config-1,xml,,1746770252699,1746770358610,105.911,0
67c1dd323984fa84ae83e162,modifying-task-config-1,jsonc,,1747178492158,1747178574476,82.318,0
67d2a409ab3638e33fc417b9,modifying-task-config-1,hjson,,1747349124054,1747349201278,77.224,0
67d2a409ab3638e33fc417b9,modifying-task-config-3,hjson,,1747349472308,1747349563550,91.242,0
67aca6831f2b0b79416bdb6c,modifying-task-config-1,xml,,1747178017738,1747178031361,13.623,0
67aca6831f2b0b79416bdb6c,modifying-task-config-2,xml,,1747178036566,1747178043946,7.38,0
67aca6831f2b0b79416bdb6c,modifying-task-config-3,xml,,1747178053247,1747178130715,77.468,0
67aca6831f2b0b79416bdb6c,modifying-task-config-4,xml,,1747178137209,1747178140661,3.452,0
589cd166b2a7180001f0527d,modifying-task-config-1,jsonc,,1747175464125,1747175643527,179.402,0
67792abbab2fa21bf3644c09,modifying-task-config-4,hjson,,1746773278347,1746773384258,105.911,0
672f51ea346fba23ddd5a793,modifying-task-config-2,xml,,1746770614693,1746770826345,211.652,0
672f51ea346fba23ddd5a793,modifying-task-config-3,xml,,1746770833191,1746770838242,5.051,0
672f51ea346fba23ddd5a793,modifying-task-config-4,xml,,1746770842394,1746770848622,6.228,0
67bf5ad9c5a4637861cfd21e,modifying-task-config-1,toml,,1746770604020,1746770707454,103.434,0
66684beba2a2d24645a6d782,modifying-task-config-4,jsonc,,1746772731615,1746772880526,148.911,0
67caa7fe00179edfb74d3e1a,modifying-task-config-1,json5,,1746774846977,1746775040292,193.315,0
67caa7fe00179edfb74d3e1a,modifying-task-config-2,json5,,1746775050626,1746775126195,75.569,0
67caa7fe00179edfb74d3e1a,modifying-task-config-3,json5,,1746775134698,1746775149352,14.654,0
67caa7fe00179edfb74d3e1a,modifying-task-config-4,json5,,1746775159404,1746775163677,4.273,0
67f4ea448eb6a2b293c1f2fc,modifying-task-config-4,json,,1747342163676,1747342197330,33.654,0
65fb13bebfa339f73b4cf76a,modifying-task-config-1,jsonc,,1746771074808,1746771080015,5.207,0
671e39c25e5e3f340a6f21d4,modifying-task-config-3,jsonc,,1746774030707,1746774209905,179.198,0
67d0088c269b3e96d9ba6019,modifying-task-config-1,hjson,,1746772768275,1746772964089,195.814,0
672b5998daafdbf9c43a531b,modifying-task-config-1,jsonc,,1746772247349,1746772308108,60.759,0
672b5998daafdbf9c43a531b,modifying-task-config-2,jsonc,,1746772313994,1746772329464,15.47,0
672b5998daafdbf9c43a531b,modifying-task-config-3,jsonc,,1746772336474,1746772356301,19.827,0
672b5998daafdbf9c43a531b,modifying-task-config-4,jsonc,,1746772366048,1746772374753,8.705,0
61287939bc5a971fc15333e4,modifying-task-config-1,json,,1746772292178,1746772353350,61.172,0
61287939bc5a971fc15333e4,modifying-task-config-2,json,,1746772362571,1746772430677,68.106,0
61287939bc5a971fc15333e4,modifying-task-config-3,json,,1746772440213,1746772521654,81.441,0
61287939bc5a971fc15333e4,modifying-task-config-4,json,,1746772533782,1746772584787,51.005,0
