participantId,valid,errorMessage,parsed,"Can't redefine existing key at row 10, col 7, pos 238:","Can't redefine existing key at row 11, col 16, pos 134:","Can't redefine existing key at row 4, col 51, pos 118:","Invalid boolean, expected true or false at row 1, col 33, pos 32:","Invalid character, expected ""="" at row 1, col 10, pos 9:","Invalid character, expected ""="" at row 2, col 3, pos 17:","Invalid character, expected ""="" at row 2, col 5, pos 19:","Unexpected character, expected only whitespace or comments till end of line at row 1, col 13, pos 12:","Unexpected character, expected only whitespace or comments till end of line at row 4, col 9, pos 49:","Unexpected character, expecting string, number, datetime, boolean, inline array or inline table at row 3, col 6, pos 20:"
67e5cf90b79d0874e1cf16b0,True,,"{'patients': {'patient': [{'name': 'John', 'age': 30, 'test': {'blood': 'Normal', 'xray': 'Normal'}}, {'name': 'Michael', 'age': 45, 'test': [{'blood': 'Elevated Cholesterol', 'xray': 'Normal'}], 'treatment': {'type': 'Regular Monitoring'}}]}}",,,,,,,,,,
67d00f24466a67ba7e41228e,False,"Unexpected character, expected only whitespace or comments till end of line at row 4, col 9, pos 49:",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6672d878f68b9e349b56e871,False,"Unexpected character, expected only whitespace or comments till end of line at row 1, col 13, pos 12:",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
66992f58a7964f557fc75f58,False,"Invalid character, expected ""="" at row 2, col 3, pos 17:",,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
64275e53f51a5ed4f6b7d019,False,"Can't redefine existing key at row 10, col 7, pos 238:",,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
673d0377254c407e5da57f97,True,,"{'patients': [{'name': 'John', 'tests': [{'id': 1, 'result': 'Normal'}, {'id': 2, 'result': 'Elevated Cholesterol'}]}, {'name': 'Michael', 'tests': [{'id': 1, 'result': 'Normal'}]}, {'treatment': 'Regular Monitoring'}]}",,,,,,,,,,
5e8a5a892f6f027054a83d88,True,,"{'patients': [{'name': 'John', 'test': [{'id': 1, 'result': 'Normal'}], 'tests': [{'id': 2, 'result': 'Elevated Cholesterol'}]}, {'name': 'Michael', 'treatment': 'Regular Monitoring', 'tests': [{'id': 1, 'result': 'Normal'}]}]}",,,,,,,,,,
67bf88cc763aae600b429a3e,False,"Invalid character, expected ""="" at row 1, col 10, pos 9:",,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63e5b3e89a3823139cb9d35e,False,"Can't redefine existing key at row 11, col 16, pos 134:",,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
667c2175b570aa694ce2f63c,False,"Unexpected character, expecting string, number, datetime, boolean, inline array or inline table at row 3, col 6, pos 20:",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
67eefd0739d752c54dd52686,False,"Invalid character, expected ""="" at row 1, col 10, pos 9:",,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
671b65fe04c301eb14263ba5,False,"Invalid character, expected ""="" at row 2, col 5, pos 19:",,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
66a9285501ac98053902d481,False,"Can't redefine existing key at row 4, col 51, pos 118:",,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
665c5d94303fdf202ac9ded0,True,,"{'patients': [{'name': 'John', 'tests': [{'test': [{'id': 1, 'result': 'Normal'}, {'id': 2, 'result': 'Elevated Cholesterol'}]}]}, {'name': 'Michael', 'treatment': 'Regular Monitoring', 'tests': {'test': [{'id': 1, 'result': 'Normal'}]}}]}",,,,,,,,,,
67f1c7bd6f1c4a3d8deae02f,False,"Invalid boolean, expected true or false at row 1, col 33, pos 32:",,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
