participantId,valid,code,errorMessage
669b961e1c9cf30a26bb57d2,True,"<patients>
    <patient>
        <name>John</name>
        <test>
            <id>1
            <results>
                <tests
            </results></id>
        </test>
        </name>
    </patient></patient>",
60721c2da01b3a616edba9a7,True,"<?xml version=""1.0"" encoding=""UTF-8""?>
<hopital>
  <patient>
     <name>John</name>
      <tests id=""1"">
        <results>Normal</results>
       </tests>
      <test id=""2"">
        <result>Elevated Cholesterol</result>
        </test>
    </patient>
<patient>
    <name>Michael</name>
        <test id=""1""><result>Normal</result>
        <treatment>Regualar Monitoring</treatment>
     </patient>
</hospital>
",
67d95269b47464c18da766ca,True,"<person id=""101>patients
<name>John</name>
<id 1>Result, Normal!>
<id 2>Result, Elevated Cholesterol>
</person>Michael>
<id 1> Result, <Treatment></ Regular Monitoring>
</id 1> Result,<Normal></person>",
6740ae39809389d7da9de209,True,"<patient>
    <name>john</name>
    <test>
        <id>1</id>
        <result>normal</result>
        <id>2</id>
        <result>elevated cholesterol</result>
    </test>
    <name>Micheal</name>
    <test>
        <id>1</id>
        <result>nomarl</result>
    <treatment>regular monitoring</treatment>    
    </test>
</patient>",
62fd14d7b1e0729dc8aadb79,True,"<?xml version=""1.0"" encoding=""UTF-8""?>

<patients>
    
<patient>
    <name>John</name>
    <tests>
        <test>
            <id>1</id>
            <result>Normal</result>
        </test>
        
        <test>
            <id>2</id>
            <result>Elevated Cholestrol</result>
        </test>
    </tests>
</patient>

<patient>
    <name>Michael</name>
    <tests>
        <test>
            <id>1</id>
            <result>Normal</result>
        </test>
    </tests>
    <treatment>Regular Monitoring</treatment>
</patient>

</patients>",
67e4920c40c9561040ca01d0,True,"<Patients>
     </patient>
      </Name>R Michael</Name>
      </Tests>
        </Test>
          </Name>John</Name>
          </Result>Normal</Result>",
677c52fe648cd68583dd3b1e,True,"  <patients>
    <patient>
      <name>John</name>
      <tests>
        <test>
          <id>1</id>
          <result>Normal</result>
        </test>
        <test>
          <id>2</id>
          <result>Elevated Cholesterol</result>
        </test>
      </tests>
    </patient> 
    <patient>
      <name>Michael</name>
      <tests>
        <test>
          <id>1</id>
          <result>Normal</result>
        </test>
      </tests>
      <treatment>Regular Monitoring</treatment>
    </patient>
  </patients>",
67eff2b1a264260e948a4d14,True,"<patients=""101"">
    <name>John</name>
    <test>Id</test>1
    <test>Result</test>Normal
    <test>Id</test>2
    <test>Result</test>Elevated Cholssterol
<patients=""102"">
    <name>Michael</name>
    <tests>Id</tests>1
    <tests>Result</tests>Normal
    <treatment>Regular Monitoring</treatment>",
6501c0a2e788b5556c24569d,True,"<patients>
    <person id=0>
        <name>John</name>
        <tests>
            <test id=1>
                <result>Normal</result>
            </test>
            <test id=2>
                <result>Elevated Cholesterol</result>
            </test>
        </tests>
    </person>
    <person id=1>
        <name>Michael</name>
        <tests>
            <test id=1>
                <result>Normal</result>
            </test>
        </tests>
        <treatment>Regular Monitoring</treatment>
    </person>
</patients>
    ",
66bb6b7e0ccbed81f3ed30a8,True,"<person> 
<name> john</name>

<test> id </test>
<result> normal</result>
<test>id2 </test>
<result> elevated cholesterol </result>

<person>
<person>
    
    <name> Michael</name>
</person>
<test>
</test>
    <test id1></test>
    <result>normal</result>
    <treatment> regular monitoring</treatment>",
6753746b1f8827e2bd586bf0,True,"<patients></patients>
<name>
</John>
<tests> 
<id1>
<result></normal>
<id2>
<result></Elevated cholesterol>
<name>
<micheal>
<tests>
<id1><>
<result></normal>
<treatment></regular monitoringt>
",
669a84e18da4349ece0ea67c,True,"<patients></patients>
<name>John</name>
<test>ID,Results</test>
<Result>Normal</Result>
<name>Michael</name>
<test>ID, Result</test>
<Result>Normal</Result>",
67ab57e88fd0774428bd1f32,True,<patients></patients>patient><name>John</name><tests><test><id>1</id><result>Normal</result></test><test><id>2</id><result>Elevated Cholesterol</result></test></tests></patient><name>Michael</name><test><test><id>1</id><result>Normal</result></test></tests><treatment>Regular Monitoring</treatment></patient></patients>,
677d32c679491be18090225b,True,"<patients>
    
</patients><name>john</name
<tests>
</tests>
<id>1</id> <reslt>normal </reslt>
<result>elevated cholestrol</result>

<name>michael</name>
<tests></tests>
<id>1</id>
<result>Normal</result>

<treatment>Regular monitoring</treatment>
",
