participantId,valid,errorMessage,JSON5 fallback error: JSON5: invalid character '#' at 1:1,JSON5 fallback error: JSON5: invalid character 'P' at 1:2,JSON5 fallback error: JSON5: invalid character 'P' at 1:4,JSON5 fallback error: JSON5: invalid character 'a' at 1:2,JSON5 fallback error: JSON5: invalid character 'p' at 1:1,JSON5 fallback error: JSON5: invalid character 'p' at 1:3,"TOML error: Can't redefine existing key at row 10, col 7, pos 238:","TOML error: Can't redefine existing key at row 11, col 16, pos 134:","TOML error: Can't redefine existing key at row 4, col 51, pos 118:","TOML error: Invalid boolean, expected true or false at row 1, col 33, pos 32:","TOML error: Invalid character, expected ""="" at row 1, col 10, pos 9:","TOML error: Invalid character, expected ""="" at row 2, col 3, pos 18:","TOML error: Invalid character, expected ""="" at row 2, col 5, pos 19:","TOML error: Unexpected character, expected only whitespace or comments till end of line at row 1, col 15, pos 14:","TOML error: Unexpected character, expected only whitespace or comments till end of line at row 4, col 9, pos 49:","TOML error: Unexpected character, expecting string, number, datetime, boolean, inline array or inline table at row 3, col 8, pos 22:"
67e5cf90b79d0874e1cf16b0,True,,,,,,,,,,,,,,,,,
67d00f24466a67ba7e41228e,False,"TOML error: Unexpected character, expected only whitespace or comments till end of line at row 4, col 9, pos 49:; JSON5 fallback error: JSON5: invalid character 'p' at 1:3",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6672d878f68b9e349b56e871,False,"TOML error: Unexpected character, expected only whitespace or comments till end of line at row 1, col 15, pos 14:; JSON5 fallback error: JSON5: invalid character 'a' at 1:2",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
66992f58a7964f557fc75f58,False,"TOML error: Invalid character, expected ""="" at row 2, col 3, pos 18:; JSON5 fallback error: JSON5: invalid character 'a' at 1:2",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
64275e53f51a5ed4f6b7d019,False,"TOML error: Can't redefine existing key at row 10, col 7, pos 238:; JSON5 fallback error: JSON5: invalid character '#' at 1:1",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
673d0377254c407e5da57f97,True,,,,,,,,,,,,,,,,,
5e8a5a892f6f027054a83d88,True,,,,,,,,,,,,,,,,,
67bf88cc763aae600b429a3e,False,"TOML error: Invalid character, expected ""="" at row 1, col 10, pos 9:; JSON5 fallback error: JSON5: invalid character 'p' at 1:1",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
63e5b3e89a3823139cb9d35e,False,"TOML error: Can't redefine existing key at row 11, col 16, pos 134:; JSON5 fallback error: JSON5: invalid character '#' at 1:1",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
667c2175b570aa694ce2f63c,False,"TOML error: Unexpected character, expecting string, number, datetime, boolean, inline array or inline table at row 3, col 8, pos 22:; JSON5 fallback error: JSON5: invalid character 'P' at 1:2",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
67eefd0739d752c54dd52686,False,"TOML error: Invalid character, expected ""="" at row 1, col 10, pos 9:; JSON5 fallback error: JSON5: invalid character 'p' at 1:1",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
671b65fe04c301eb14263ba5,False,"TOML error: Invalid character, expected ""="" at row 2, col 5, pos 19:; JSON5 fallback error: JSON5: invalid character 'P' at 1:4",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
66a9285501ac98053902d481,False,"TOML error: Can't redefine existing key at row 4, col 51, pos 118:; JSON5 fallback error: JSON5: invalid character 'p' at 1:3",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
665c5d94303fdf202ac9ded0,True,,,,,,,,,,,,,,,,,
67f1c7bd6f1c4a3d8deae02f,False,"TOML error: Invalid boolean, expected true or false at row 1, col 33, pos 32:; JSON5 fallback error: JSON5: invalid character 'p' at 1:1",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
